word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,avaliability_mean,avaliability_sd,rt_mean,rt_sd,accuracy_mean,accuracy_sd
粉笔,chalk,5.86,1.17,4.35,1.82,5.82,1.14,6.59,1.21,7.08,0.85,6.87,1.12,544.93,29.36,0.949,0.066
粉尘,dust,5.63,1.63,4.29,1.63,5.6,1.79,7.07,1.82,7.04,1.28,6.9,0.3,548.62,42.77,0.925,0.015
奋斗,work hard for,2.33,1.33,7.83,0.47,4.3,0.52,7.2,1.37,4.96,1.07,6.43,1.34,543.18,60.28,0.89,0.021
粪便,shit,3.45,0.67,7.77,1.08,4.97,1.43,3.2,1.07,4.96,1.31,5.07,0.68,534.57,41.69,0.914,0.02
丰富,colorful,7.14,2.32,5.26,2,4.75,0.78,5.22,0.55,5.09,1.27,4.65,0.7,504.63,50.56,0.94,0.068
丰满,plump,5.73,1.74,6.95,1.16,6.82,1.1,5,1.61,7.08,0.66,6.24,1.94,600.82,61.92,0.914,0.026
丰收,good harvest,6.39,2.24,6.25,1.34,3.93,1.09,6.07,1.3,5.13,0.42,6.3,1.63,528.33,40.9,0.919,0.014
风车,wind mill,5.67,0.88,4.81,0.64,6.61,0.69,6.32,1.71,7.24,0.69,6.21,1.69,515.99,25.55,0.898,0.007
风光,passage of time,4.78,1.38,5.83,1.82,6.76,1.74,6.37,1.36,7.91,0.63,7.08,1.33,576.21,58.48,0.94,0.032
风景,scenery,6.4,0.98,5.7,1.34,7.3,1.4,7.73,0.63,7.25,1.75,7.35,1.4,626.91,47.89,0.921,0.02
风铃,wind pipe,5.36,0.39,5.27,1.97,5.55,1.54,4.77,0.58,6.29,1.53,5.76,1.76,594.35,35.95,0.928,0.009
风沙,sand storms,2.29,0.59,6.93,0.71,3.75,0.89,3.64,0.71,5.73,0.41,5.63,1.87,494.47,42.78,0.916,0.054
风扇,electric fan,7.13,1.66,5.1,1.11,7.03,0.68,6.33,1.36,7.54,2.22,6.42,0.42,634.48,55.23,0.927,0.025
风俗,ritual,4.8,0.52,5.09,1.44,5.72,0.38,5.92,1.3,5.59,0.74,5.89,1.31,601.96,39.58,0.902,0.056
风韵,charm,5.28,2.08,5.64,1.52,7.31,1.62,7.14,1.41,7.14,1.43,7.09,1.82,621.02,39.44,0.909,0.048
风筝,kite,4.22,0.65,4.27,1.73,5.66,0.94,6.03,1.46,4.94,2.2,5.25,1.51,635.16,24.05,0.919,0.064
枫叶,maple leaf,3.05,0.54,5.36,0.64,4.91,0.44,5.95,1.57,4,1.93,4.21,0.39,527.22,38.59,0.931,0.032
封面,cover,4.94,0.72,5.19,1.9,3.53,1.49,5.23,2.05,4.86,0.93,5.09,0.43,579.54,45,0.904,0.067
疯狗,mad dog,3.24,2.26,6.2,0.8,5.05,1.14,4,0.76,6.25,1.49,5.41,0.4,496.18,39.1,0.94,0.016
疯子,crazy person,2.55,1.26,6.14,1.73,5.78,1.48,3.92,1.97,6.37,1.21,6.35,0.41,623.16,41.86,0.904,0.036
缝补,stitch patch,3.92,0.58,5.69,1.69,4.98,1,5.85,1.02,5.11,1.93,5.86,1.75,584.94,36.4,0.933,0.055
凤凰,phoenix,4.05,0.57,4.41,0.84,5.95,0.54,4.59,0.71,6,0.48,4.82,1.83,570.51,51.27,0.886,0.048
佛光,halo,6.11,2.22,6.46,1.95,4.82,0.53,4.21,1.8,4.58,1.94,4.24,1.11,503.72,48.65,0.923,0.015
佛像,buddha statue,7.07,0.8,5.32,1.98,7.39,1.17,7.61,1.52,8,2.07,6.77,1.24,504.37,63.94,0.91,0.039
夫人,wife,4.58,1.11,4.19,1.91,5.86,1.91,5.21,1.76,5.96,1.61,5.17,1.62,577.19,41.34,0.93,0.04
敷衍,perfunctory,5.05,0.73,3,0.98,5,0.74,3.63,0.67,5.42,0.98,5.81,0.51,550.84,41.91,0.945,0.061
服务,service,6.43,2.29,5.13,1.67,6.17,1.16,5.54,1.06,6.17,2.14,5.28,1.72,594.17,33.14,0.888,0.066
俘获,capture,5.82,0.77,5.09,1.2,4.41,1.47,5.18,1.72,4.53,0.94,4.68,1.32,476.31,56.19,0.899,0.053
俘虏,captivate,4.89,0.6,2.04,1.72,5.43,0.72,6.28,1.2,5.67,1.56,5.6,1.62,583.79,37.36,0.878,0.048
浮尘,dust,3.43,1.14,6.05,0.67,5.57,1.73,5.73,0.55,5.9,1.55,5.51,1,606.25,43.07,0.958,0.009
浮尸,floating body,1.95,1.89,7.45,0.97,3.64,1.83,2.91,1,5.45,0.92,4.62,1.13,522.77,44.04,0.948,0.059
福利,welfare,4.95,2.02,5,1.86,6,0.85,6.2,1.55,6.14,1.9,5.95,0.78,528.34,34.11,0.943,0.04
斧头,ax,5.11,1.74,4.86,0.91,4.06,0.89,4.94,2.01,3.83,2.18,4.67,1.77,589.51,49.88,0.929,0.061
腐蚀,errode,4.5,1.35,4.3,1.44,5.27,1.44,5.22,0.68,6.37,1.1,5.78,0.27,502.94,26.39,0.955,0.03
腐朽,decadant,1.64,2.08,7.64,0.86,4.32,1.13,3.18,2.04,5.24,1.33,5,1.66,556.42,46.13,0.872,0.023
父母,parents,4.79,1.1,3.75,1.75,4.18,1.05,6.45,0.65,4.03,1.43,4.26,0.91,529.98,54.37,0.886,0.044
讣告,obituary,3.79,0.41,5.96,1.67,5.04,1.49,3.21,1.15,6.91,1.39,6.24,0.76,566.86,42.78,0.915,0.063
盖头,head cover,4.64,0.38,4,1.29,4.11,0.28,4.86,1.15,5.14,1.58,5.86,1.2,541.82,30.66,0.907,0.024
甘甜,sweet,3.06,0.83,5.46,1.94,5.23,1.54,4.45,1.37,4.32,1.83,4.87,1.23,575.81,34.01,0.951,0.042
干裂,try and cracked,2.69,2.29,3.75,0.52,4.42,0.73,4.06,1.82,4.95,1.39,5.65,1.82,509.4,44.87,0.957,0.069
干尸,dried body,2.08,1.53,5.67,1.53,4.53,1.19,5.17,0.66,5.49,2,5.93,0.49,556.25,36.57,0.893,0.057
钢琴,piano,4.21,2.01,3.75,1.73,4.68,1.44,5.25,1.14,4.63,0.41,5.3,0.28,498.18,53.23,0.933,0.044
港湾,bay,4.82,1.6,4,1.09,4.57,0.57,5.77,1.16,4.01,1.76,4.39,1.66,548.91,39.21,0.926,0.029
高傲,haunty,6.64,0.76,5.29,1.67,4.29,0.63,4.46,2.04,4.58,1.79,5.25,1.14,518.55,27.78,0.893,0.062
高堂,parents,6.79,2.23,5.29,1.71,4.68,1.06,4.32,0.59,5.77,1.67,5.13,1.51,507.29,38.94,0.896,0.021
高雅,refined taste,2.91,2.06,5.82,1.45,6.14,0.49,6.31,1.05,6.05,2.04,6.44,1.65,512.2,46.73,0.901,0.05
高原,plateau,5.31,0.69,5.25,1.81,6.61,0.4,6.75,0.95,6.23,1.89,6.19,1.06,630.14,56.3,0.939,0.037
羔羊,lamb,5.23,1.86,5.27,1.52,5.59,0.78,4.82,0.83,5.53,1.92,5.29,1.14,616.21,27.16,0.912,0.033
膏药,oinment,7.17,0.34,6.63,1.25,6.9,1.01,6.7,0.9,7.65,1.93,6.03,0.28,633.18,42.83,0.914,0.07
糕点,pastry,6.22,1.86,6.44,1.29,5.15,0.25,6.98,1.65,5.02,0.8,6.12,0.6,515.19,62.09,0.946,0.033
稿费,contribution fee,6.06,0.71,5.91,0.92,4.73,1.66,4.23,0.96,3.92,0.53,3.95,0.46,521.24,37.83,0.945,0.019
哥哥,older brother,7.83,1.38,7.03,2.03,6.97,0.3,7.2,1.17,6.94,1.48,6.78,1.16,626.15,47,0.931,0.023
歌迷,fans for the singer,5.64,0.36,6.21,1.03,6.19,1.26,5.11,1.89,7.37,1.04,6.56,0.74,556.41,55.81,0.904,0.014
歌女,female singer,4.68,2.1,5.11,0.53,6.79,1.3,7.25,1.17,8,1.23,7.21,0.33,635.63,48.71,0.953,0.045
阁楼,atic,5,2.07,4.88,0.81,4.88,0.73,5.63,1.26,3.68,0.61,4.2,1.97,501.02,58.89,0.896,0.029
哽咽,choked,2.49,2.03,6.95,0.59,4.12,1.13,5.37,1.34,5.35,1.1,6.08,1.02,491.93,62.82,0.91,0.012
公安,police force,7.61,0.37,5.08,1.39,6.89,1.84,6.17,1.98,7.26,0.53,7.05,2,563.2,32.06,0.874,0.034
公园,park,4.13,1.19,5.17,1.21,5.97,0.72,5.86,1.99,5.73,1.66,5.54,1.62,557.24,50.17,0.91,0.021
功夫,kong fu,2.14,1.92,7.53,0.98,4.83,0.4,5.08,1.3,4.12,0.99,3.56,0.94,587.31,44.55,0.871,0.027
宫殿,palace,5.18,1.03,5.32,0.6,5.05,1.09,6.32,1.15,4.32,0.72,4.89,1.26,516.01,46.75,0.872,0.027
拱桥,arched bridge,5.73,2.3,4.59,1.99,6.09,0.61,5.55,1.05,6.47,2.04,5.32,0.35,569.84,39.43,0.911,0.029
贡品,tribute,4.63,2.18,5.37,1.51,3.83,1.88,5.9,1.67,3.55,0.83,5.2,1.34,546.02,50.41,0.94,0.057
勾结,gang up with,2.49,2.07,5.91,1.21,5.34,1.49,4.37,1.27,5.36,0.71,5.33,1.29,545.51,23.78,0.871,0.043
孤岛,island,2.64,2.2,6.44,1.54,6.41,1.32,5.31,0.64,6.48,0.59,6.39,1.44,509.82,44.04,0.902,0.043
孤儿,orphan,1.93,0.59,7.96,0.58,3.4,0.89,3.13,0.82,5.33,1.69,5.07,0.67,481.9,63.61,0.876,0.028
姑娘,young lady,2.07,1.36,6.17,1.5,3.23,0.39,5.33,0.87,4.14,1.99,5,1.84,466.43,38.63,0.915,0.042
古董,antique,7.22,1.24,5.16,1.53,7.1,1.33,6.78,0.97,8.09,1.39,6.97,2.01,585.98,31.04,0.959,0.043
古朴,vintage,4.51,1.46,3.06,0.46,3.77,1.1,5.2,1.45,4.13,0.82,4.29,0.81,492.19,23.84,0.919,0.064
骨灰,body ash,6.88,1.73,5.83,0.89,4.51,0.3,5.34,2.07,5.72,1.45,5.74,0.3,553.17,28.9,0.93,0.026
鼓励,encourage,2,1.12,6.89,1.14,4.71,1.27,5.36,1.2,5.39,1.61,6.34,1.92,587.8,22.31,0.92,0.066
鼓楼,drum tower,6.46,1.96,6.6,1.21,5.37,1.04,6.61,2.07,5.06,0.36,5.35,0.75,550.53,60.11,0.946,0.057
故居,old house,4.57,0.41,4.11,1.12,4.54,0.37,5.83,0.9,4.73,0.58,5.78,0.88,539.86,61.58,0.902,0.021
顾客,customer,4.97,1.72,2.66,2.06,6.11,1.25,5.33,2.06,6.58,1.63,6.6,1.6,589.45,22.06,0.911,0.054
顾问,consultant,5.06,1.22,5.53,1.01,3.86,0.6,6.08,2.07,4.56,1.66,4.91,0.94,551.2,58.6,0.926,0.065
雇工,employee,4.41,0.75,3.09,0.94,4,1.46,4.36,0.54,3.97,2.02,4.8,1.08,508.87,32.76,0.94,0.012
雇员,employee,1.64,1.82,7.95,0.93,3.14,1.25,4.64,0.92,3.42,1.16,3.77,0.49,509.63,29.06,0.884,0.05
寡妇,widow,4.34,1.28,4.4,1.48,3.83,1.94,4.19,0.97,3.63,0.65,3.35,0.38,549.72,36.56,0.94,0.062
拐卖,kidnapping for business,2.14,2.06,5.25,2.1,4.11,0.38,4.36,1.9,4.91,0.99,4.91,1.16,488.68,59.09,0.936,0.04
拐骗,scam,2.77,1.56,6.68,1.6,4.41,1.5,2.86,1.83,5.63,0.86,4.71,0.71,581.88,23.57,0.953,0.019
拐杖,walking cane,4.63,2.02,3.8,1.43,3.66,0.79,4.45,0.55,4.36,1.4,4.61,0.63,562.21,22.51,0.954,0.015
关押,lock up,1.71,1.89,6.26,0.82,5.51,0.68,5.34,1.71,6.41,1.67,6.3,1.71,513.99,42.65,0.884,0.036
棺材,coffin,6.74,2.17,4.94,0.94,5.66,1.19,4.17,1.4,6.84,1.19,6.49,0.42,522.87,27.91,0.94,0.015
冠军,champion,6.77,1.67,6.53,1.2,6.6,0.41,6.32,0.66,6.32,1.84,6.08,1.7,561.53,35.9,0.882,0.068
惯犯,habitual criminal,2.39,2,6.05,1.81,4.8,0.85,5.07,0.59,5.26,1.77,5.63,0.6,553.61,32.25,0.905,0.054
光芒,light,4.89,1.14,3.48,0.59,4.63,1.96,5.23,1.58,4.22,2.05,5,1.04,545.34,53.29,0.91,0.015
规范,regulation,6.14,0.4,5.13,1.49,5.77,1.05,5.34,0.71,7.05,1.78,6.08,1.42,585.79,23.72,0.919,0.033
规律,regularity,2.17,0.88,7.14,1.49,5.23,1.25,6.09,1.24,5.92,0.66,5.82,1.6,520.96,31.11,0.934,0.015
规则,rules,4.67,1.79,4.63,0.46,2.57,0.98,6,1.52,4.13,0.96,4.97,1.75,500.53,37.16,0.924,0.05
闺蜜,best female friends,4.02,0.98,3.9,1.41,5.41,0.92,5.5,1.43,4.16,0.63,4.34,0.71,577.91,50.76,0.96,0.052
闺女,daughter,4.92,1.23,4.54,1.85,4.57,1.9,6.4,1.42,4.65,0.52,5.05,0.59,560.6,52.66,0.958,0.021
鬼混,hang out,1.59,0.35,6.41,1.96,4.55,0.97,2.95,0.93,6.11,2.17,5.74,1.36,521.24,34.16,0.89,0.057
鬼魂,ghost,4.03,0.97,3.46,0.63,4.17,0.77,3.97,1.67,5.27,0.58,5.7,0.69,572.74,25.18,0.948,0.054
贵人,honorable people,5.95,1.02,3.32,0.98,5.36,0.57,5.64,1.76,6.14,0.38,5.93,1.23,554.51,62.41,0.874,0.045
贵族,nobility,6,2.22,5.32,0.53,4.69,1.61,6.94,1.36,4.91,1.99,5.4,1.03,509.68,57.34,0.948,0.068
桂花,osmanthus,1.82,0.35,6.41,1.12,4.41,1.74,5.09,2.04,3.05,1.14,3.92,2,537.05,49.51,0.908,0.038
国宝,national treasure,2.75,2.29,6.54,0.72,6.68,1.19,5.15,1.82,6.89,0.54,5.84,1.53,536.65,27.94,0.928,0.019
国耻,national shame,2.71,1.46,6.75,1.98,3.68,0.61,3.93,0.97,4.51,0.6,5.2,0.43,575.21,47.26,0.906,0.038
国法,french made,6,1.22,6.59,0.93,5.95,1.56,4.05,0.77,6.92,2.2,6.26,1.75,548.25,62.23,0.935,0.052
国徽,national emblem,4.44,1.73,4.32,1.28,4.51,0.86,5.97,0.55,4.27,1.65,5.27,1.1,589.88,43.26,0.924,0.061
国货,native product,5.06,1.74,5.11,0.78,5.2,1.22,6.71,1.33,5.97,1.2,5.75,0.7,588.87,57.72,0.878,0.027
国旗,national flag,5.04,1.35,5.5,1.29,6.32,1.48,6.46,0.59,6.77,0.48,6.27,1.01,576.92,46.5,0.87,0.05
国情,national condition,3.05,2.11,5.64,0.72,5.36,0.9,4.89,1.98,6.9,0.62,6.29,1.65,578.01,54.63,0.941,0.039
果冻,jelly,6.4,0.84,4.31,1.44,5.09,1.34,6,1.44,4.73,0.49,4.92,0.29,581.58,58.36,0.92,0.043
果农,fruit farmer,4.86,2.32,5.74,1.85,5.8,1.01,5.06,0.75,6.27,1.59,6.05,0.87,603.55,35.95,0.923,0.025
果盘,fruit tray,3.88,2.13,4.57,1.3,4.37,1.97,5.83,1.68,4.87,0.41,5.42,1.76,545.19,46.42,0.888,0.03
果树,fruit tree,4.8,1.53,3.14,0.72,6.14,1.51,5.58,0.61,6.23,1.31,5.79,0.36,543.01,40.75,0.915,0.051
过程,process,4.78,1.52,4.61,0.61,3.08,1.87,5.67,1.07,3.6,1.3,4.28,0.93,506.15,24.95,0.918,0.029
海岸,coastline,2.37,1.59,6.1,0.96,4.95,0.82,5.18,0.65,4.39,1.52,4.97,1.93,522.24,53.52,0.94,0.031
海报,poster,2.61,1.66,6.22,1.6,4.88,0.8,5.95,1.1,4.83,1.67,5.22,1.64,527.08,29.08,0.922,0.055
海盗,pirate,5.36,0.64,5.5,1.52,4.27,1.93,5.14,1.83,4.29,0.47,4.42,0.85,507.34,26.09,0.959,0.056
海军,navy,4.11,0.97,4.42,1.63,3.86,1.51,5.14,0.67,4.09,1.18,5.4,0.96,541.89,61.54,0.924,0.065
海豚,dolphin,4.68,2.16,3.45,0.68,5.45,0.77,6.39,2.03,5.06,0.56,5.57,0.67,553.74,39.25,0.948,0.037
海洋,ocean,5.86,0.54,6.07,1.02,6.36,1.75,5.55,1.07,7.34,1.21,6.18,1.67,555.05,39.11,0.919,0.055
海葬,sea burial,6.61,1.5,5.68,2.05,4.29,1.95,5.48,1.61,5.27,1.43,5.89,1.14,478.77,29.24,0.95,0.019
汉奸,chinese traitor,2.44,0.6,6.89,0.72,4.25,1.83,3.89,1.26,4.88,0.35,4.88,0.34,506.31,37.34,0.896,0.043
汗水,sweat,2.56,0.51,8.19,1.74,4.64,1.8,4.73,2.09,4.03,1.78,4.55,1.97,518.33,59.03,0.885,0.028
行踪,whereabouts,4.53,1.32,4.27,1.48,3.73,0.9,4.87,0.6,4.12,1.74,4.7,1.53,501.52,28.32,0.925,0.046
豪迈,heroic,7.08,1.4,6.22,2.01,5.56,0.41,5.72,0.7,6.72,0.62,6.65,1.11,604.59,61.54,0.889,0.042
喝彩,applaud,6.66,0.67,6.24,1.42,5.42,1.08,6.69,0.81,5.47,1.02,5.49,1.68,551.58,50.36,0.927,0.042
合格,qualified,4.14,0.52,3.47,1.47,4.97,1.5,5.66,0.73,5.11,0.81,6,1.22,576.67,60.25,0.924,0.068
合理,reasonable,3.47,0.54,6.47,1.92,6.63,1.81,6.5,0.79,7.49,1.8,6.57,0.28,619.38,36.92,0.927,0.033
合影,group photo,5.92,1.05,4.26,0.49,6.09,1.17,6.55,0.91,6.68,1.4,6.71,0.38,506.78,35.49,0.925,0.043
荷塘,lotus pond,5.89,2.15,4.57,1.08,5.86,1.44,4.93,0.98,6.93,1.32,6.03,1.24,573.39,48.06,0.9,0.069
核桃,walnut,2.17,0.41,5.43,2.04,5.5,1.73,4.54,1.53,7.07,2.1,6.59,1.06,528.23,49.13,0.888,0.05
贺卡,greeting cards,4.46,1.79,4.46,0.97,3.46,1.21,4.57,0.64,5.19,1.76,6.14,0.35,490.49,49.41,0.937,0.011
贺喜,congratulations,5.77,2.15,6.43,1.29,6.5,0.5,5.87,1.19,6.61,0.45,6.29,0.83,543.49,30.96,0.951,0.065
恒星,planet,4.23,2.31,5.5,1.28,3.5,1.24,4.68,1.97,3.57,1.71,4.49,0.65,590.04,55.93,0.949,0.034
横幅,banner,7.67,1.42,7.07,1.36,3.07,0.74,4.83,0.76,4.2,1.59,5.03,1.53,563.94,22.53,0.904,0.049
轰炸,bomb,4.25,0.55,4.75,1.35,4.11,1.79,3.39,1.97,5.89,0.41,6.23,1.02,584.07,62.09,0.958,0.046
红包,red envelope,7.14,2.04,6.46,1.91,6.14,1.41,6.29,1.46,6.51,2.01,6.58,1.79,545.11,62.14,0.954,0.021
红酒,red wine,4.58,0.67,5.03,1.65,4.78,1.25,5.31,1.88,5.09,1.71,5.47,1.76,579.73,28.76,0.941,0.039
红军,red army,5.45,2.11,4.95,0.49,4.95,1.91,6.05,0.78,3.47,2.01,4.08,1.01,571.8,63.92,0.89,0.064
红娘,matchmaker,7.31,1.14,7.11,0.62,5.58,0.67,4.44,0.88,6.35,0.89,6.35,1,533.14,45.35,0.941,0.02
洪水,flood,3.03,1.66,5.47,1.5,4.83,1.71,4.44,1.96,6.19,0.44,5.84,0.48,512.84,44.64,0.957,0.047
洪灾,floods,1.77,2.16,6.68,0.82,3.06,1.45,3.42,1.71,4.86,0.88,4.89,1.16,556.25,29.91,0.878,0.009
哄抢,plunder,2.2,1.5,6.77,1.66,4.06,0.38,4.71,1.52,5.42,2.03,5.05,0.46,542.19,30.15,0.893,0.062
忽略,overlook,2.97,1.92,3.25,0.64,6.25,0.6,5.89,1.48,6.95,2.15,6.65,1.95,519.83,49.18,0.941,0.053
忽视,overlook,3.4,0.98,5.07,1.99,4.34,1.03,3.43,0.62,4.64,0.51,4.78,1.14,581.4,52.65,0.953,0.033
狐狸,fox,4.33,1.59,4.76,0.86,5.12,0.41,4.9,1.32,5.71,1.73,5.29,0.4,492.34,60.39,0.871,0.026
湖泊,lake,4.86,1.08,4.94,1.13,5.69,1.86,5.39,1.64,5.33,0.8,5.51,1.16,616.56,59,0.919,0.035
蝴蝶,butterfly,7.67,0.95,5.61,1.6,6.75,1.26,7.25,0.94,7.59,2.18,7.3,0.24,528.61,61.45,0.883,0.034
糊涂,baffled,3.2,0.85,6.5,1.72,5.5,1.29,5.27,1.86,6.76,1.44,6.42,1.44,518.59,40.01,0.903,0.06
护士,nurse,6.96,1.66,7.68,1.85,6.32,1.67,3.86,0.92,5.34,1.54,5.24,0.57,567.64,32.82,0.921,0.011
护照,passport,5.07,0.45,4.36,1.68,6.11,1.44,4.61,1.52,5.89,0.75,5.65,0.3,604.74,46.47,0.904,0.049
花车,decorated vehicle in parade,4.72,2.27,4.67,1.88,6.22,1.79,5.86,2.02,5.4,1.49,5.3,0.68,573.78,27.65,0.893,0.067
花朵,flowers,6.97,1.97,6.7,1.74,7.43,1.99,7.83,1.92,7.68,0.94,7.21,1.99,602.75,25.98,0.888,0.013
花卉,flowers,6.93,0.94,5.13,1.29,7.1,1.77,6.73,0.64,7.52,1.02,7.02,1.86,506.99,49.72,0.943,0.016
花篮,flower basket,2.66,0.99,5.02,1.89,5.83,0.28,5.22,2.03,6.92,1.42,6.03,0.63,596.12,53.7,0.907,0.053
花蕾,bud,4.78,1.51,2.23,1.48,6.93,1.1,6.9,1.52,7.12,1.38,6.46,0.31,576.54,62.94,0.91,0.061
花瓶,vase,5.24,2.34,5.26,1.81,3.66,0.63,5.34,0.73,4.24,1.49,4.55,0.8,544.65,52.54,0.882,0.014
花圈,wreath for the death,1.53,1.23,7.2,0.61,4.2,1.16,3.6,1.18,4.12,1.14,4.46,1.4,491.16,56.27,0.929,0.021
花束,bouquet,5.29,1.77,4.94,0.98,5.74,1.51,5.63,1.26,6.11,1.04,5.97,1.94,627.45,24.84,0.887,0.026
花坛,flower bed,5.1,0.52,4.8,0.69,5.23,0.38,6.6,0.87,4,2.05,5.32,1.79,529.32,61.15,0.941,0.064
花园,garden,6.63,1.2,7.3,0.75,6.87,0.88,6.5,0.89,7.33,1.81,6.17,0.62,580.69,61.52,0.917,0.011
滑雪,skiing,2.34,2.2,6.43,1.66,4.54,1.34,5.86,0.84,5.24,1.04,5.81,0.83,504.8,40.65,0.875,0.036
画家,painter,1.33,2.25,6.25,1.38,4.06,0.95,5.14,1.49,3.73,0.75,4.65,0.99,580.28,23.66,0.89,0.026
画像,portrait,1.68,1.37,6.55,0.5,4.18,1.57,4.27,1.58,2.87,1.47,3.82,1.9,512.48,54.2,0.937,0.042
欢呼,cheer,5,0.67,6.2,1.47,6.87,1.84,6.63,1.37,7.47,1.21,8.32,1,602.7,27.37,0.898,0.051
欢快,merrily,5.22,1.47,5.1,1.99,7.39,1.7,6.61,1.47,7.34,1.9,6.57,0.91,570.17,31.69,0.914,0.016
欢乐,happy,7.77,0.58,7.18,1.55,7.82,0.95,7.41,1.37,7.11,1.71,7.05,0.32,543.18,27.14,0.882,0.042
欢送,farewell,4.77,0.71,4.41,1.33,6.82,0.35,6.36,2.07,7,1.68,6.13,1.84,605.86,39.49,0.904,0.045
欢喜,happy,7.31,1.51,8.14,1.11,6.6,0.87,5.83,1.48,6.59,1.48,6.13,1.28,544.09,52.84,0.943,0.039
宦官,eunuck,3.77,1.48,5.54,0.69,3.94,0.29,4.78,1.97,4.88,1.83,4.67,0.6,493.67,23.53,0.881,0.052
荒岛,deserted island,2.4,1.56,6.85,1.27,4.4,0.46,4.48,1.05,4.54,1.67,4.92,1.9,520.18,29.99,0.953,0.037
荒漠,desert,3.43,0.88,6.4,1.23,4.4,0.71,3.93,0.79,6.2,1.22,5.99,1.25,471.38,30.21,0.907,0.01
皇宫,royal palace,5.82,0.74,4.82,2.06,4.96,0.67,3.5,1.3,6.54,1.19,6.04,1.97,561.42,26.78,0.95,0.017
皇冠,crown,7,0.96,5.05,1.24,6.36,1.64,5.25,1.75,6.33,0.92,6.46,0.57,640.47,42.75,0.922,0.04
皇上,the emperor,4.91,1.6,2.82,0.44,5.32,1.6,5.55,2,4.76,2.01,5.24,1.95,547.33,29.28,0.942,0.062
黄金,gold,6.73,0.52,5.1,0.45,6,0.61,6.68,1.34,5.78,0.71,5.76,1.59,622.07,28.68,0.897,0.068
蝗虫,locust,1.72,1.49,7.19,1.01,4.83,1.28,4.4,1.2,5.81,1.72,5.28,0.85,538.13,55.23,0.949,0.035
灰尘,dust,7.8,1.44,6.43,1.29,4.23,1.9,3.45,2.04,3.84,1.29,4.58,0.49,474.76,43.69,0.932,0.063
灰烬,ashes,4.86,1.56,6.54,1.35,5.94,1.75,5.39,0.78,7.16,1.44,7.09,1.18,618.25,58.38,0.871,0.044
辉煌,glorious,7.39,1.65,6.47,1.6,6.64,0.96,6.97,1.82,6.86,1.97,7.12,1.59,580.78,29.3,0.874,0.009
回归,home coming,8.14,2,7.39,0.43,7.08,1.54,6.78,1.5,7.09,2.17,6.65,0.32,604.86,22.83,0.904,0.045
回眸,look back,6.59,0.87,5.91,1.24,6.05,1.19,5.23,0.88,6.47,1.74,5.05,0.31,622.29,63.45,0.879,0.029
毁容,ruined face,5.09,2.27,4.95,1.63,4.18,1.36,2.77,0.71,4.5,0.79,4.79,1.82,517.03,43.59,0.905,0.044
贿赂,bribery,4.63,0.51,4.2,1.06,6.1,1.08,6.17,2.02,6.55,0.39,6.2,0.47,583.61,44.56,0.906,0.044
昏君,foolish emperor,2.83,0.7,4.39,1.27,6.51,1.18,6.12,1.53,7.62,1.44,6.31,1.22,506.23,61.12,0.878,0.043
昏迷,coma,4.83,0.72,3.15,0.63,5.77,1.39,3.12,0.6,6.11,1.61,5.35,0.65,597.24,55.04,0.953,0.024
婚房,wedding room,6.75,2.03,6.18,1.04,3.29,1.29,5.18,1.32,3.17,1.7,5,0.26,558.38,23.24,0.899,0.065
婚纱,wedding gown,4.55,0.96,4.32,0.61,4.23,0.37,6.32,1.06,4.74,0.59,4.47,1.34,575.94,60.3,0.898,0.025
婚宴,wedding ceremony,2.63,1.91,5.71,2.06,5.17,0.84,6.29,1.15,4.46,1.63,4.81,1.06,543.34,63.26,0.924,0.017
火化,cremate,2.18,2.24,6.57,1.89,4.5,0.99,4.32,1.51,6.74,0.56,6.71,1.31,474.03,29.14,0.934,0.043
火炬,torch,5.51,0.57,5.57,2.08,5.11,1.35,5.57,0.91,4.68,0.5,5.03,0.24,587.55,38.4,0.947,0.038
火苗,flame,2.61,1.89,7.65,1.97,5.18,1.74,4.43,0.6,6.49,1.71,5.91,1.38,541.2,27.73,0.899,0.009
火山,volcano,3.59,0.73,4.82,0.93,4.45,1.91,2.59,0.69,4.58,1.5,4.42,1.51,565.7,46.38,0.922,0.025
火药,fire powder,5.11,1.07,5.32,1.74,4.71,1.06,5.39,0.9,5.23,1.56,5.31,0.28,577.63,62.85,0.934,0.009
火葬,cremation,3.07,1.47,7.21,1.68,4.04,0.41,3.14,1.45,3.67,1.54,4.31,0.98,569.6,54.57,0.935,0.029
货币,currency,2.3,2.31,6.43,1.92,5.23,1.02,4.5,2.03,5.89,2.13,4.89,1.06,519.38,27.41,0.943,0.027
击毙,shoot down,2.73,1.84,5.59,0.9,4.05,1.98,2.64,2.03,5.39,1.98,5.5,0.68,500.53,53.97,0.885,0.056
饥寒,cold ungry,3.89,0.49,4.8,0.79,4.12,1.96,3.61,0.75,5.77,0.55,4.62,0.79,479.19,57.75,0.88,0.058
饥民,hungry people,5.72,1.43,4.69,1.91,5.58,0.73,4.22,0.69,6.35,1.92,6.35,2.02,620.76,38,0.925,0.012
