word_russian,pos,translate_word_english,n,valid_n,percent_known,aoa_mean,aoa_sd,frequency,frequency_zipf,concrete_mean_grigoriev2022,concrete_soloviev2022_1000,concrete_mean_soloviev2022_500,imagine_mean_grigoriev2009,imagine_mean_tsaparina2011,imagine_mean_pashneva2014,imagine_mean_akinina2014,familiar_mean_tsaparina2011,familiar_mean_grigoriev2010,familiar_mean_pashneva2014
катафалк,s,hearse,20,20,1,12.35,4.671019273,1,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
категориальный,a,"categorical, absolute; (philosophical) conceptual, pertaining to categories",22,17,0.772727273,13.58823529,2.623423897,0.8,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
категорически,adv,"categorically, absolutely, flatly; (emphatic) strongly",28,28,1,12.21428571,2.699206233,20.2,3.98,3.818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA
категорический,a,"categorical, absolute",26,26,1,10.73076923,2.646623393,3.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
категоричность,s,categoricalness,21,21,1,11.66666667,3.022140522,1.2,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
категоричный,a,"categorical, peremptory; (tending to judge) opinionated, judgmental",24,24,1,11.41666667,2.857738033,2.9,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
категория,s,category,21,21,1,9.666666667,2.435843454,69.2,4.06,NA,3.627906977,NA,NA,NA,NA,NA,NA,NA,NA
катер,s,"launch, boat",20,20,1,7.25,2.468219047,17,3.69,6.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
катет,s,leg (of a right triangle),20,19,0.95,11.73684211,3.211820274,0.5,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
катехизис,s,catechism,21,4,0.19047619,19,2.449489743,1.1,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
катить,v,to roll,20,20,1,4.45,1.731290969,7.6,2.52,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA
катиться,v,to roll,20,20,1,5.55,1.431782106,15.4,2.92,NA,NA,NA,NA,NA,5.68,1.31,NA,NA,3.4
катод,s,cathode,20,11,0.55,14.18181818,1.60113596,1.2,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
катодный,a,cathode,23,10,0.434782609,15,1.333333333,0.8,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каток,s,skating rink; roller,21,21,1,6.19047619,1.833549771,7.8,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
католик,s,Catholic,22,22,1,11.31818182,2.358093734,6.7,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
католичество,s,Catholicism,20,20,1,10.65,2.277463964,2,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каторга,s,"hard labor, penal servitude",21,21,1,10.57142857,2.063284483,4.8,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каторжник,s,convict (hard labor),23,22,0.956521739,11.81818182,3.111214181,1.7,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каторжный,a,hard labor,20,20,1,11.9,3.210181172,3.3,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
катушка,s,"spool, reel",21,21,1,7.761904762,2.791142453,8.4,2.86,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA
каузальный,a,causal,20,10,0.5,12.2,3.047767854,0.5,1.47,3.058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA
каучук,s,rubber,25,23,0.92,12.7826087,2.255428235,1.9,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каучуковый,a,rubber,21,21,1,11.9047619,3.923069741,0.7,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафе,s,cafe,20,20,1,7,3.060787652,37.1,4.61,NA,NA,1.524590164,NA,NA,NA,NA,NA,NA,NA
кафедра,s,department (university); pulpit,22,22,1,13.72727273,4.014044608,30.2,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафедральный,a,cathedral,30,29,0.966666667,14,2.803059553,3.4,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафель,s,tile,21,21,1,8.476190476,2.379475733,2.7,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафельный,a,tile,23,23,1,10.13043478,3.454961489,2.2,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафетерий,s,cafeteria,23,21,0.913043478,11.28571429,3.363671463,0.6,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кафтан,s,caftan,26,26,1,11.34615385,2.682421409,1.9,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качалка,s,rocking chair,28,28,1,10.42857143,3.349168735,1.2,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качание,s,"swaying, rocking",21,20,0.952380952,5.65,2.033275812,1,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качать,v,to pump; to swing; to rock (imperf.),21,21,1,6.523809524,4.032605208,17.8,3.15,NA,NA,NA,NA,NA,NA,1.44,NA,NA,NA
качаться,v,to swing; to rock (imperf.),20,20,1,5.55,1.986136159,14,2.8,NA,NA,NA,NA,NA,6.16,1.24,NA,NA,4.16
качели,s,swing,24,24,1,3.375,1.312564698,5.1,3.33,NA,NA,NA,6.8,4.59,NA,1.07,3.92,3.3,NA
качественно,adv,qualitatively,24,24,1,8.5,2.502172969,10.6,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качественный,a,qualitative; high-quality,20,20,1,8.15,2.518876107,35.2,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качество,s,quality,20,20,1,8.75,3.041381265,331.7,4.75,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA
качка,s,"pitching, rocking (of a ship)",26,25,0.961538462,8.92,3.569780572,2,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качнуть,v,"to sway, to rock once (perf.)",21,20,0.952380952,6.45,3.99308613,4.5,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
качнуться,v,"to sway, to rock once (perf.)",21,21,1,7.80952381,4.445436397,5.2,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каша,s,"porridge, kasha",23,23,1,2.304347826,1.362977443,27.1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашалот,s,sperm whale,24,22,0.916666667,8.136363636,4.155265788,0.4,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашель,s,cough,30,30,1,4.966666667,1.751518225,8.8,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашемир,s,cashmere,23,19,0.826086957,11.57894737,3.436984943,0.7,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашемировый,a,cashmere,22,20,0.909090909,12.7,3.614299088,1.1,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашлянуть,v,to cough (once) (perf.),1624,1624,1,5.193349754,1.962885477,4.1,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашлять,v,to cough (imperf.),23,23,1,3.739130435,1.388831795,7.6,2.81,6.2,NA,NA,NA,NA,NA,1.11,NA,NA,NA
кашне,s,scarf,22,14,0.636363636,15.21428571,3.704022168,0.8,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кашпо,s,"flowerpot, planter",20,10,0.5,11.9,2.998147576,0.6,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каштан,s,chestnut,26,25,0.961538462,5.92,2.9,4.6,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каштановый,a,chestnut,24,24,1,8.5,3.064523511,2.5,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каюр,s,dog sled driver,23,1,0.043478261,13,NA,0.4,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каюта,s,cabin (on a ship),23,23,1,7.52173913,2.192333029,12.5,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каяк,s,kayak,20,5,0.25,15.4,1.516575089,0.5,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
каяться,v,to repent (imperf.),20,20,1,9.65,3.06551275,9.4,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квадрат,s,square,28,28,1,5.25,1.858414298,16.9,3.76,6.090909091,NA,NA,NA,NA,NA,1,NA,NA,NA
квадратный,a,square,20,20,1,4.8,2.015727634,47.7,3.68,5.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
квадратура,s,quadrature,25,17,0.68,14.17647059,3.432114766,0.5,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квазар,s,quasar,24,9,0.375,14.66666667,2.915475947,2.4,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кваканье,s,croaking,20,20,1,5.4,1.391704748,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квакать,v,to croak (imperf.),20,20,1,4.05,1.431782106,0.8,1.79,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA
квалификационный,a,qualifying,20,20,1,11.7,3.21345854,6.4,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квалификация,s,qualification; skill,20,20,1,13,2.127513993,23.9,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квалифицированно,adv,skillfully,26,26,1,12.30769231,2.853338126,1,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квалифицированный,a,"qualified, skilled",20,20,1,13.7,2.992974229,12.9,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квалифицировать,v,to qualify; to classify,28,27,0.964285714,12.81481481,2.236704943,3.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квант,s,quantum,24,22,0.916666667,14.27272727,1.279204298,2.2,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квантовый,a,quantum,20,20,1,12.65,2.207046133,8.6,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квартал,s,quarter (district),22,22,1,9.727272727,2.693587061,33.1,4.18,NA,NA,2.169491525,NA,NA,NA,NA,NA,NA,NA
квартальный,a,quarterly; precinct officer,21,21,1,12.71428571,2.777460299,2.2,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квартет,s,quartet,30,29,0.966666667,10.68965517,3.18594512,5.5,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квартира,s,"apartment, flat",23,23,1,4.695652174,1.769303474,290.9,4.43,NA,1.339622642,NA,NA,NA,NA,NA,NA,NA,NA
квартирант,s,"tenant, lodger",23,23,1,11.17391304,3.270420795,1.6,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квартирный,a,apartment,20,20,1,9.8,3.442765107,6,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квартировать,v,"to be quartered, to be stationed (imperf.)",25,22,0.88,12.72727273,2.657994557,1.3,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кварц,s,quartz,20,20,1,10.05,3.284332825,2.8,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квас,s,kvas (fermented beverage),20,20,1,5.3,1.688973528,5,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квашеный,a,"pickled, fermented",28,28,1,7.678571429,2.450299625,2.2,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квашня,s,dough trough; sour woman,21,13,0.619047619,9.769230769,3.539158237,0.6,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квёлый,a,"limp, flaccid",24,7,0.291666667,11.28571429,5.089672082,0.7,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квинтет,s,quintet,20,9,0.45,13.11111111,3.586239132,0.7,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квинтэссенция,s,quintessence,20,12,0.6,15.83333333,1.337115847,1.6,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квитанция,s,receipt,21,20,0.952380952,10.5,2.605661851,6.5,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кворум,s,quorum,20,5,0.25,14.8,2.863564213,1.2,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
квота,s,quota,20,20,1,14.25,3.209771266,11.8,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кегельбан,s,skittle alley,20,6,0.3,16.33333333,4.179314138,0.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кедр,s,cedar,20,20,1,7.8,2.912766816,6.1,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кедровник,s,cedar grove,21,19,0.904761905,9.526315789,2.735942272,0.6,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кедровый,a,cedar,21,21,1,8.666666667,3.230067079,3,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кекс,s,"muffin, cake",20,20,1,5.5,2.013114895,1.1,3.25,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA
келейник,s,cell attendant (monastery),20,7,0.35,12.85714286,3.716116765,0.4,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
келейный,a,"secluded, private",25,3,0.12,12,2,0.4,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
келья,s,monk's cell,24,18,0.75,12.77777778,3.934097633,4.7,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кенгуру,s,kangaroo,21,21,1,5.476190476,2.040074695,2.1,3.43,NA,NA,NA,6.43,3.56,NA,1.19,2.69,1.55,NA
кентавр,s,centaur,20,19,0.95,11.05263158,2.504965828,1.6,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кепка,s,cap,21,21,1,4.476190476,1.470341716,12.1,2.95,NA,NA,NA,6.73,4.65,NA,1.12,3.44,2.45,NA
керамика,s,ceramics,21,21,1,10.9047619,3.740384498,4.4,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
керамический,a,ceramic,28,28,1,12.46428571,2.645501323,5.1,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
керосин,s,kerosene,20,20,1,9.05,3.186732364,7.5,3.04,6.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
керосинка,s,kerosene stove,20,19,0.95,9.526315789,3.437835576,1.8,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
керосиновый,a,kerosene,23,23,1,9.652173913,3.392621615,4.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кетчуп,s,ketchup,20,19,0.95,7.315789474,3.092151922,1.5,3.14,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
кефаль,s,mullet (fish),20,15,0.75,12.33333333,3.638419332,0.5,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кефир,s,kefir,21,21,1,4.857142857,1.768776817,5.9,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кибернетик,s,cyberneticist,19,19,1,14.63157895,3.25252938,0.5,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кибернетика,s,cybernetics,20,20,1,15.3,2.473012227,3.3,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кибернетический,a,cybernetic,20,17,0.85,12.52941176,2.981560981,1.2,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кибитка,s,tent; covered wagon,21,18,0.857142857,12.11111111,4.056786455,0.7,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кивать,v,to nod (imperf.),24,24,1,5.375,2.550575383,26.5,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киви,s,kiwi (fruit/bird),21,21,1,7.80952381,4.331501444,0.8,3.21,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA
кивнуть,v,to nod (perf.),24,24,1,4.083333333,1.767254482,88.4,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кивок,s,nod,20,20,1,6.95,2.56443284,5.9,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кизил,s,cornelian cherry,20,16,0.8,13.5,4.830458915,NA,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кий,s,cue (for billiards),22,22,1,14.40909091,3.899439409,1.2,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кикимора,s,"evil spirit, kikimora",20,20,1,6.6,2.479388719,2.8,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киловатт,s,kilowatt,20,20,1,12.95,3.456115861,1.4,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
килограмм,s,kilogram,20,20,1,6.75,1.888329811,26,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
килограммовый,a,kilogram,20,20,1,7.75,2.403396719,0.9,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
километр,s,kilometer,20,20,1,7.35,1.814415956,79.2,3.64,NA,2.270833333,NA,NA,NA,NA,NA,NA,NA,NA
километровый,a,kilometer,20,20,1,8.6,3.067658116,2.3,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киль,s,keel,20,18,0.9,10.11111111,2.908180933,2.2,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кильватер,s,wake (of a ship),25,8,0.32,12.375,3.067688753,0.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
килька,s,sprat,20,20,1,7.45,2.139232523,2.5,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кимоно,s,kimono,20,20,1,10.15,3.166851333,2.2,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинематика,s,kinematics,20,15,0.75,14.26666667,3.825976377,0.4,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинематограф,s,cinema,20,20,1,10.55,3.440853627,10.7,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинематографист,s,filmmaker,21,21,1,11.19047619,2.182178902,6,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинематографический,a,cinematographic,24,24,1,10.91666667,2.701314763,4.9,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинематография,s,cinematography,20,20,1,11.7,2.515216847,3.6,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинетический,a,kinetic,20,20,1,14.05,1.394538218,2.6,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинжал,s,dagger,21,21,1,7.714285714,1.792842914,6.7,3.57,6.727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинза,s,"coriander, cilantro",20,17,0.85,9.823529412,3.557304002,0.6,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кино,s,"cinema, movies",20,20,1,5.65,3.910512148,99.4,5.1,NA,2,NA,6.53,NA,NA,NA,NA,NA,NA
киноактёр,s,film actor,20,20,1,7.65,2.345768867,2.5,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киноартист,s,film actor/actress,20,19,0.95,8.315789474,3.400206392,1.1,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киноварь,s,cinnabar,21,8,0.380952381,13.25,4.267819785,0.7,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинозал,s,movie theater hall,20,20,1,7.8,2.820974076,1.9,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинозвезда,s,movie star,20,20,1,7.95,3.501503436,3,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинозритель,s,moviegoer,26,26,1,7.576923077,2.59496554,0.5,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинокамера,s,movie camera,20,20,1,8.6,3.10178217,1.8,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинолента,s,"film, movie reel",20,20,1,9.65,2.680828623,1.4,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинолог,s,"cynologist, dog handler",25,24,0.96,11.875,3.15281103,0.5,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киноман,s,"cinemagoer, movie buff",20,20,1,12.4,3.393492224,0.4,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киноплёнка,s,film stock,20,20,1,8.5,3.052177825,1.4,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киносеанс,s,"movie showing, film showing",20,20,1,8.9,3.258995648,0.5,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киностудия,s,film studio,20,20,1,8.55,3.068944615,4.6,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киносъёмка,s,filming,20,20,1,8.5,2.625783091,1.4,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинотеатр,s,movie theater,20,20,1,5.95,2.01246118,19,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинофестиваль,s,film festival,20,20,1,9.8,2.546411303,4.1,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кинофильм,s,"film, movie",21,21,1,5.857142857,1.904880949,6.5,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киноэкран,s,movie screen,21,21,1,8.476190476,2.400396793,0.6,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киоск,s,"kiosk, booth",20,20,1,5.95,2.139232523,13.4,3.17,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA
киоскёр,s,kiosk attendant,20,12,0.6,12.91666667,4.813963276,0.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипарис,s,cypress,20,18,0.9,12.05555556,4.696334268,2.4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипарисовый,a,cypress,21,19,0.904761905,12.94736842,2.952845788,0.4,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипение,s,"boiling, ebullience",23,23,1,6.47826087,2.556090147,4.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипеть,v,to boil (imperf.),22,22,1,5.636363636,2.536316312,18.9,2.55,NA,NA,NA,NA,NA,5.84,1.24,NA,NA,3.88
кипучий,a,boiling; energetic,20,20,1,11.35,2.996050031,1.5,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипятильник,s,"water heater, immersion heater",20,20,1,7.75,2.731396404,1.6,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипятить,v,to boil,20,20,1,5.5,2.35081173,3,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипяток,s,boiling water,21,21,1,5.095238095,1.546116487,11,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипячение,s,"boiling, boiling treatment",21,21,1,7.333333333,2.221110833,1.4,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кипяченый,a,boiled,24,24,1,7.083333333,2.339019986,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кирзовый,a,kirza (type of leather),26,18,0.692307692,13.16666667,3.185444839,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кириллица,s,Cyrillic alphabet,20,20,1,8.75,2.381397202,1.4,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кирка,s,pickaxe; church (colloquial),20,20,1,8.25,2.268201235,2.4,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кирпич,s,brick,20,20,1,5.05,1.276302225,27.7,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кирпичный,a,brick,22,22,1,5.181818182,2.593698658,15.1,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисейный,a,muslin,20,7,0.35,13.42857143,3.735288604,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисель,s,kissel (fruit jelly),20,20,1,4.3,1.080935268,5,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисельный,a,kissel,25,25,1,7.76,2.961981319,0.6,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисет,s,pouch (for tobacco),20,15,0.75,14.13333333,5.38339599,2.6,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисея,s,muslin,20,8,0.4,14,3.380617019,0.8,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисленький,a,sourish (diminutive),21,21,1,4.714285714,1.521277659,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислица,s,wood sorrel,20,17,0.85,10.52941176,3.299955436,0.4,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисло,adv,sourly,23,23,1,4.173913043,2.790441052,2.4,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисловатый,a,sourish,20,20,1,6.35,2.18306882,0.7,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисломолочный,a,fermented milk,20,20,1,7.8,2.764435795,0.6,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислород,s,oxygen,20,20,1,7.65,2.207046133,21.1,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислородный,a,oxygen,21,21,1,9.285714286,3.051931473,3.9,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислота,s,acid; sourness,24,24,1,9.625,3.090131558,23.4,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислотность,s,acidity,20,20,1,12.8,2.607680962,1.9,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислотный,a,acid,24,24,1,10.41666667,3.174855925,2,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кислый,a,"sour, acidic, tart",20,20,1,4.65,2.412140347,11.3,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
киста,s,cyst,21,20,0.952380952,14.2,3.562967421,0.7,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кистень,s,flail (weapon),20,12,0.6,14.75,2.261335084,0.6,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кисточка,s,tassel; small brush,20,20,1,5.55,1.877147893,5,2.48,NA,NA,NA,6.43,4.59,NA,NA,3.83,2.45,NA
кисть,s,brush; hand; tassel,22,22,1,5.636363636,2.172237261,26.1,3.49,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA
кит,s,whale,20,20,1,4.9,1.774082417,10.7,4.12,NA,NA,NA,NA,NA,NA,1.13,NA,1.45,NA
китель,s,"tunic, jacket",23,23,1,12.73913043,3.063233457,8.6,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
китовый,a,whale,23,23,1,7.695652174,2.819329105,1.4,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кишеть,v,"to teem, to swarm (imperf.)",30,19,0.633333333,12.57894737,3.024268313,3.8,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кишечник,s,"intestine, gut",21,21,1,9.666666667,2.670830083,6.4,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кишечный,a,intestinal,20,20,1,8.5,1.849608778,2.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кишка,s,"gut, intestine, hose",20,20,1,8.85,2.942877217,12.5,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
кишлак,s,kishlak (Central Asian village),20,12,0.6,15.41666667,2.193309386,2,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
