cues,AFSS,BOI,Concrete,n_previous,needs_norming
roast,23,4.821428571,4.4,34,No
robber,26,4.464285714,4.31,28,Yes
robe,35,5.909090909,5,26,Yes
robot,46,4.861185984,4.65,30,No
rock,42,5.48,4.91,28,Yes
rocker,20,5.04,4.31,28,Yes
rod,32,4.454545455,4.43,29,Yes
rodent,44,5.041666667,4.7,28,Yes
roll,32,4.44,4.16,30,No
rook,40,4.772727273,4.38,31,No
roommate,66,5.16,4.52,38,No
roosters,37,4.6,4.93,28,Yes
root,31,4.583333333,4.34,28,Yes
rope,44,6.2,4.93,28,Yes
rosary,36,5.791666667,4.63,38,No
rose,40,5.76,4.9,28,Yes
rosebush,30,5.333333333,4.69,24,Yes
rosemary,32,5.379310345,4.68,25,Yes
rosewater,22,5.25,4.58,26,Yes
rotisserie,22,4.791666667,4.23,34,No
rowboat,39,5.375,4.81,27,Yes
rubber,32,5.304347826,4.86,28,Yes
rubbish,28,4.666666667,3.64,27,Yes
ruby,39,4.76,4.77,35,No
rucksack,31,5.041666667,4.14,28,Yes
rug,42,6.173913043,4.79,26,Yes
ruler,34,5.25,4.66,24,Yes
rum,28,5.64,4.93,28,Yes
runner,45,4.608695652,4.86,32,No
rye,24,4.407407407,4.74,28,Yes
sack,23,5.083333333,4.84,26,Yes
sackcloth,18,4.913043478,4.65,25,Yes
saddle,28,4.954545455,4.85,34,No
saddlebag,32,5.409090909,4.88,28,Yes
saffron,41,4.666666667,4.44,28,Yes
sage,37,4.375,4.54,36,No
sailboat,44,5.266216216,4.89,26,Yes
sailcloth,37,4.454545455,4.39,27,Yes
salad,49,6.111111111,4.97,40,No
salamander,37,4.714285714,4.7,24,Yes
salesgirl,39,4.769230769,4.46,33,No
saleslady,48,4.28,4.65,28,Yes
salesman,24,4.84,4.81,34,No
saleswoman,33,4.608695652,4.8,35,No
salmon,31,4.454545455,4.81,28,Yes
saloon,29,4.301480485,4.68,26,Yes
salt,44,5.260869565,4.89,39,No
saltshaker,45,6,4.96,33,No
saltwater,33,5.192307692,4.77,32,No
salve,33,4.692307692,4,26,Yes
sand,38,5.956521739,5,27,Yes
sandalwood,27,4.36,4.71,28,Yes
sandbag,32,5.25,4.68,29,Yes
sandbank,37,4.52,4.83,32,No
sandbox,27,5.777777778,4.86,29,Yes
sandcastle,30,5.095238095,4.96,28,Yes
sandpaper,36,5.913043478,4.85,28,Yes
sandwich,30,6.333333333,4.9,27,Yes
sangria,24,4.863636364,4.45,27,Yes
sapling,22,4.304347826,4.52,25,Yes
sapphire,37,5.125,4.76,30,No
sardine,31,4.869565217,5,36,No
sarong,25,5.357142857,4.5,28,Yes
sash,33,4.916666667,4.67,34,No
satchel,16,5.583333333,4.73,29,Yes
satin,26,5.125,4.57,33,No
sauce,39,5.130434783,4.75,34,No
saucepan,39,6,4.67,27,Yes
sauerkraut,18,5.148148148,4.54,26,Yes
sauna,33,5.363636364,4.68,37,No
sausage,34,6.48,4.88,28,Yes
saw,18,4.76,4.46,26,Yes
sawdust,28,4.4,4.93,27,Yes
sawhorse,31,5.125,4.78,26,Yes
saxophone,16,6.222222222,5,49,No
scab,30,4.958333333,4.71,26,Yes
scale,31,5.652173913,4.39,34,No
scallion,40,5.173913043,4.72,27,Yes
scallop,25,5.48,4.61,24,Yes
scalp,27,5.25,4.82,25,Yes
scalpel,32,5.545454545,4.86,31,No
scanner,26,5.444444444,4.79,27,Yes
scapula,29,4.684210526,4.08,26,Yes
scar,33,4.608695652,4.74,37,No
scarecrow,15,5,4.68,25,Yes
scarf,35,6.434782609,4.97,28,Yes
school,40,5.16,4.79,27,Yes
schoolboy,31,4.92,4.5,31,No
schoolgirl,38,4.625,4.66,29,Yes
schoolhouse,32,5.291666667,4.86,30,No
schoolwork,43,4.5,4.1,28,Yes
scientist,31,4.47826087,4.24,34,No
scissors,21,6.291666667,4.85,60,No
scoop,42,4.28,4.15,35,No
scooter,35,5.913043478,4.96,27,Yes
scorecard,51,4.875,4.61,39,No
scorpion,39,4.32,4.84,32,No
scotch,31,5.4,4.55,31,No
scrapbook,36,5.84,4.76,28,Yes
scraper,30,5.12,4.23,30,No
scratches,53,4.4,4.59,34,No
screen,38,5.041666667,4.6,27,Yes
screw,35,5.708333333,4.81,32,No
screwdriver,42,6.52173913,4.9,31,No
scribbling,27,4.814814815,4.1,27,Yes
script,39,5.041666667,4.72,24,Yes
scrotum,20,5.291666667,4.87,28,Yes
scrubber,20,4.32,4.52,32,No
sculpture,46,5.782608696,4.79,32,No
scythe,26,4.727272727,4.29,26,Yes
sea,41,4.653846154,4.79,27,Yes
seam,22,4.44,4.5,28,Yes
seamstress,23,4.4,4.43,26,Yes
seaplane,30,4.333333333,4.75,25,Yes
searchlight,21,4.391304348,4.63,27,Yes
seashore,50,4.44,4.63,31,No
seasoning,34,4.47826087,4.67,30,No
seat,25,6.416666667,4.78,53,No
seawater,23,4.961538462,4.41,25,Yes
seaweed,25,4.458333333,4.89,27,Yes
secretary,64,5.2,4.54,37,No
sedan,36,5.565217391,4.72,30,No
sedative,27,4.416666667,4.56,35,No
seed,26,5.185185185,4.71,36,No
seedling,33,5.083333333,4.56,30,No
semen,21,5.269230769,4.79,27,Yes
senorita,28,4.391304348,4.18,34,No
sequin,22,4.923076923,4.24,26,Yes
servant,43,4.782608696,4.64,30,No
serviceman,26,4.8,4.57,25,Yes
sesame,32,4.652173913,4.5,26,Yes
sex,35,5.16,4.1,28,Yes
shack,33,5.125,4.93,33,No
shaker,35,4.36,4.11,33,No
shallot,23,5.380952381,4.59,25,Yes
shampoo,28,6,4.68,30,No
shamrock,29,4.5,4.89,26,Yes
shank,32,4.565217391,4.18,27,Yes
sharpener,29,4.785714286,4.64,30,No
shavings,30,4.6,4.5,60,No
shawl,27,5.76,5,24,Yes
shed,21,4.333333333,4.55,25,Yes
sheep,45,4.5,4.9,36,No
sheepdog,47,5.375,4.72,28,Yes
sheepskin,37,4.928571429,4.78,31,No
sheet,28,5.708333333,4.93,26,Yes
shelf,35,4.782608696,4.96,36,No
shell,37,5.291666667,4.8,30,No
shellfish,43,5.76,4.53,27,Yes
shelter,37,5.269230769,4.64,32,No
shelving,18,5.47826087,4.67,24,Yes
sherbet,20,5.916666667,4.83,26,Yes
shield,29,5.037037037,4.66,27,Yes
shin,33,5.592592593,4.86,27,Yes
shinbone,37,4.826086957,4.8,24,Yes
shingle,29,4.625,4.82,53,No
ship,47,5.2,4.87,26,Yes
shipman,30,4.407407407,3.92,27,Yes
shipmate,35,4.72,4.52,31,No
shirt,39,6.473045822,4.94,32,No
shirtsleeve,41,6.125,4.64,28,Yes
shirttail,36,5.333333333,4.78,32,No
shoe,35,6.458333333,4.97,28,Yes
shoehorn,26,5.75,4.57,27,Yes
shoelace,26,6.16,5,34,No
shoestring,30,6.36,4.87,31,No
shopkeeper,27,4.555555556,4.43,25,Yes
shopper,37,4.541666667,4.44,28,Yes
shore,36,4.333333333,4.79,37,No
shortbread,30,5.416666667,4.56,36,No
shortcake,31,5.846153846,4.41,37,No
shorts,43,6.04,4.82,33,No
shot,44,4.392857143,4.44,33,No
shotgun,41,5.826086957,4.96,26,Yes
shoulder,37,5.869565217,4.93,27,Yes
shovel,28,5.925925926,4.97,31,No
shower,38,5.391304348,4.89,37,No
showerhead,40,5.041666667,4.93,35,No
shrimp,36,4.909090909,4.8,26,Yes
shrine,33,4.555555556,4.47,26,Yes
shrub,37,5.259259259,4.92,67,No
shuffleboard,30,5.130434783,4.74,26,Yes
shutter,30,4.541666667,4.38,26,Yes
shuttle,42,4.695652174,4.63,34,No
sibling,37,5.04,4.37,27,Yes
sideboard,21,5.222222222,4.42,27,Yes
sideburns,23,5.166666667,4.96,26,Yes
sidecar,23,4.347826087,4.82,27,Yes
sidewalk,38,5.291666667,4.96,36,No
sifter,44,4.782608696,4.64,33,No
sign,48,4.666666667,4.62,35,No
signpost,52,5.25,4.63,37,No
silk,27,4.8,4.7,34,No
silkworm,29,5.208333333,4.62,28,Yes
silverware,30,6.24,4.66,25,Yes
singer,39,4.821428571,4.62,36,No
sink,40,5.48,4.74,39,No
sirloin,26,5.32,4.66,29,Yes
sister,38,4.8,4,29,Yes
skate,32,4.913043478,4.56,32,No
skateboard,39,6.04,4.86,28,Yes
skateboarder,46,4.739130435,4.82,35,No
skeleton,29,4.347826087,4.97,28,Yes
sketch,40,4.88,4.56,27,Yes
sketchbook,49,5.833333333,4.79,61,No
skewer,31,4.5,4.46,27,Yes
ski,28,5.52,4.63,30,No
skillet,25,5.409090909,4.73,34,No
skin,47,6.16,4.79,37,No
skirt,40,6.041666667,4.82,26,Yes
skittles,28,5.24,4.93,57,No
skullcap,34,4.962962963,4.54,27,Yes
slacks,22,6.103448276,4.57,32,No
slaw,22,4.8,4.64,27,Yes
sled,41,6.086956522,5,39,No
sledge,42,4.380952381,4.11,28,Yes
sledgehammer,35,5.916666667,4.89,30,No
sleeve,17,5.798376184,4.84,28,Yes
sleigh,30,4.84,4.71,28,Yes
slide,27,5.130434783,4.48,32,No
slime,33,4.37037037,4.48,31,No
sling,41,4.909090909,4.52,39,No
slingshot,26,5.4,4.87,26,Yes
slipcover,21,5.409090909,4.69,30,No
slipknot,27,4.84,4.68,26,Yes
slipper,25,6.166666667,4.86,25,Yes
slug,30,4.434782609,4.64,31,No
slush,32,4.541666667,4.04,29,Yes
slut,23,4.652173913,3.19,28,Yes
smock,32,5.08,4.78,31,No
smooch,21,4.32,4.21,27,Yes
smoothie,26,6.041666667,4.62,27,Yes
smuggler,28,4.481481481,4.31,30,No
snack,27,6.142857143,4.36,25,Yes
snail,40,4.52173913,4.93,37,No
sneaker,40,6.48,4.69,35,No
snorkel,22,4.814814815,4.56,24,Yes
snot,32,5.32,4.48,32,No
snow,31,5.538461538,4.85,27,Yes
snowball,32,5.5,4.93,32,No
snowdrift,34,4.304347826,4.78,29,Yes
snowfall,40,4.347826087,4.66,35,No
snowflake,29,5,4.76,30,No
snowman,26,4.916666667,4.64,26,Yes
snowshoe,33,5.541666667,4.67,26,Yes
soap,28,6.434782609,4.93,35,No
soccer,46,4.64,4.76,32,No
sock,33,5.833333333,4.91,30,No
socket,22,5.24,4.32,25,Yes
soda,23,6.47826087,4.97,24,Yes
sofa,29,6.608695652,4.9,32,No
softball,29,5.75,4.89,33,No
soil,32,5.703703704,4.87,36,No
soldier,33,4.56,4.72,26,Yes
soles,27,4.913043478,4.17,34,No
sombrero,28,5.518518519,4.7,30,No
someone,77,4.625,3.71,35,No
son,42,5.875,4.14,27,Yes
songbook,40,5.76,4.63,36,No
souffle,34,5.571428571,4.57,29,Yes
soup,38,5.576923077,4.72,25,Yes
sourdough,24,5.12,4.66,34,No
southerner,40,5.045454545,3.67,31,No
soy,23,4.785714286,4.7,25,Yes
soybean,16,5.2,4.82,25,Yes
spacesuit,26,4.814814815,4.96,28,Yes
spade,20,4.4,4.46,29,Yes
spareribs,23,4.869565217,4.76,30,No
spatula,28,5.708333333,4.96,36,No
speakers,25,4.92,4.93,25,Yes
spear,53,5.208333333,5,39,No
spectacles,25,5.28,4.56,25,Yes
spectroscope,18,4.9,4,25,Yes
speedboat,38,5.434782609,4.87,31,No
spices,32,5.391304348,4.66,54,No
spider,28,5.32,4.97,25,Yes
spike,41,4.615384615,4.52,29,Yes
spinach,42,4.96,4.77,29,Yes
spine,37,4.8,4.88,28,Yes
spit,37,4.391304348,4.71,33,No
splint,28,4.958333333,4.69,26,Yes
splinter,28,4.652173913,4.41,27,Yes
spokesman,34,4.375,4.11,27,Yes
sponge,25,6.5,5,24,Yes
spool,30,4.52173913,4.62,29,Yes
spoon,50,6.115384615,4.96,34,No
sportswoman,40,4.68,4.32,27,Yes
sportswriter,47,4.32,3.93,33,No
spout,30,5,4.67,26,Yes
sprayer,26,4.96,4.62,27,Yes
spreader,24,4.375,3.72,29,Yes
sprinkler,33,4.962962963,4.89,31,No
sprinter,29,4.565217391,4.13,36,No
spyglass,36,5.64,4.79,29,Yes
squash,44,5.409090909,4.7,27,Yes
squeegee,23,5.875,4.75,25,Yes
squirrel,34,4.346153846,4.89,31,No
stableman,30,4.375,4.73,28,Yes
staff,47,4.928571429,4.36,31,No
stage,34,4.875,4.64,27,Yes
stagecoach,33,4.538461538,4.93,29,Yes
staircase,30,5.695652174,4.66,31,No
stairs,24,5.88,5,52,No
stairwell,32,5.038461538,4.85,37,No
stake,41,4.36,4.21,34,No
stall,35,4.625,4.37,33,No
stallion,53,4.88,4.72,37,No
stamp,35,5.304347826,4.7,34,No
staple,38,5.32,4.34,31,No
stapler,27,6.458333333,4.62,32,No
starch,21,4.416666667,4.29,28,Yes
stationary,34,4.727272727,3.95,45,No
statue,62,4.777777778,4.93,33,No
statuette,33,4.739130435,4.54,25,Yes
steak,38,5.75,4.96,29,Yes
steamboat,43,4.541666667,4.9,32,No
steel,27,4.884615385,4.87,25,Yes
steelworker,26,4.44,4.44,33,No
stem,26,4.666666667,4.63,28,Yes
stencil,21,5.583333333,4.83,25,Yes
step,28,5.2,4.54,31,No
stepbrother,39,4.88,4.67,28,Yes
stepchild,39,5.04,4.33,33,No
stepdaughter,38,4.72,4.07,35,No
stepfather,49,5.16,4,29,Yes
stepladder,36,6.130434783,4.67,33,No
stepson,36,5.304347826,3.68,28,Yes
stereo,45,5.68,4.63,40,No
steroids,34,4.52,4.52,28,Yes
stethoscope,25,5.8,4.86,35,No
stewardess,36,5.12,4.31,27,Yes
stick,46,6.16,4.59,33,No
stilt,19,4.652173913,4.5,27,Yes
stirrer,26,4.615384615,3.83,31,No
stirrup,32,4.958333333,4.9,31,No
stitching,30,4.444444444,4.48,26,Yes
stockbroker,47,4.851851852,4.32,31,No
stocking,34,5.6,4.86,28,Yes
stockings,39,5.84,4.62,35,No
stomach,28,4.44,4.89,27,Yes
stomp,33,4.321428571,4.41,28,Yes
stone,50,5.875,4.72,36,No
stoneware,38,5.434782609,4.66,25,Yes
stool,34,6.076923077,4.9,26,Yes
stoop,21,4.5,4.63,29,Yes
stopwatch,46,6.041666667,4.92,38,No
store,35,5.739130435,4.5,33,No
storehouse,21,4.5,4.62,26,Yes
storekeeper,34,4.75,4.69,28,Yes
storeroom,23,4.655172414,4.5,33,No
storybook,37,5.703703704,4.92,29,Yes
stove,27,5.75,4.96,33,No
straightedge,37,4.291666667,4.07,31,No
strainer,20,4.875,4.46,32,No
straitjacket,51,5.037037037,4.73,37,No
strap,33,4.923076923,4.79,25,Yes
straw,32,6,4.77,32,No
strawberry,40,6.357142857,5,28,Yes
stream,38,4.678571429,4.5,36,No
street,33,4.708333333,4.75,26,Yes
streetcar,41,4.791666667,4.89,33,No
streets,40,4.769230769,4.77,30,No
streetwalker,33,4.84,4.33,30,No
stretcher,29,5.08,4.56,36,No
string,51,5.626180837,4.76,63,No
stroller,24,6.5,4.96,27,Yes
strongbox,20,4.454545455,4.79,27,Yes
strudel,29,5.666666667,4.12,27,Yes
student,25,5.043478261,4.92,25,Yes
stuff,66,4.391304348,3.13,33,No
submarine,47,4.826086957,4.8,25,Yes
substance,40,4.47826087,3.44,26,Yes
subway,33,5,4.86,36,No
suds,22,4.652173913,4.59,28,Yes
suede,28,5,4.24,27,Yes
sugar,35,6.173913043,4.87,29,Yes
sugarcane,29,5.043478261,4.89,27,Yes
suit,40,6.52173913,4.97,28,Yes
suitcase,43,6.08,4.97,38,No
summerhouse,31,5,4.54,35,No
sundae,32,5.96,4.59,28,Yes
sundeck,47,4.5,4.61,28,Yes
sunflower,37,5.333333333,4.8,28,Yes
sunglasses,30,6.458333333,4.83,25,Yes
sunroof,38,4.814814815,4.68,25,Yes
supermarket,41,4.869565217,4.57,28,Yes
supervisor,49,4.269230769,4.26,29,Yes
supper,25,5.2,4.63,29,Yes
surfboard,30,5.916666667,4.57,30,No
surgeon,49,5,4.54,31,No
surveyor,33,4.47826087,3.85,30,No
sushi,38,5.708333333,4.96,39,No
suspenders,27,5.24,4.68,72,No
suture,29,4.652173913,4.15,30,No
swab,18,4.76,4.34,28,Yes
swamp,28,4.52173913,4.96,34,No
swan,30,4.208333333,4.96,27,Yes
sweatband,42,6.041666667,4.37,28,Yes
sweater,32,6.592592593,4.78,29,Yes
sweatshirt,36,6.6,4.93,27,Yes
sweetener,22,5.2,4.48,33,No
swimsuit,31,6.08,4.78,28,Yes
swing,30,5.36,4.54,31,No
switchblade,34,5.869565217,5,29,Yes
switchboard,21,4.777777778,4.61,27,Yes
sword,44,5.461538462,4.93,35,No
syringe,34,5.535714286,4.81,51,No
syrup,28,5.16,4.76,36,No
tabasco,27,5.260869565,4.59,32,No
table,36,6.4,4.9,26,Yes
tablecloth,33,5.347826087,4.85,27,Yes
tablespoon,34,5.142857143,5,28,Yes
tablet,48,6.517241379,4.82,26,Yes
tableware,30,6.083333333,4.65,27,Yes
tabloid,42,4.52173913,4.07,28,Yes
taco,31,NA,4.93,26,Yes
taffy,44,4.6,4.79,36,No
tag,32,4.72,4.25,27,Yes
tailcoat,27,5.47826087,4.67,27,Yes
taillight,19,5,4.86,28,Yes
tailor,34,5.130434783,4.67,31,No
talisman,30,4.708333333,4.15,31,No
tambourine,49,5.916666667,4.86,33,No
tampon,30,6.208333333,4.86,36,No
tangerine,41,5.772727273,4.81,28,Yes
tank,61,4.608695652,4.8,36,No
tape,32,5.833333333,4.9,34,No
tapestry,32,4.565217391,4.52,27,Yes
tapioca,27,4.454545455,4.64,31,No
tar,43,4.37037037,4.78,33,No
tartar,21,4.48,4.4,29,Yes
tattoo,47,4.730769231,4.71,35,No
tavern,31,4.36,4.78,27,Yes
taxi,40,5.464285714,4.93,36,No
taxpayer,24,4.583333333,4.14,31,No
tea,37,6.153846154,4.69,27,Yes
teabag,31,6.32,4.82,30,No
teacher,31,5.416666667,4.52,28,Yes
teacup,29,6.347826087,4.92,27,Yes
teahouse,25,4.347826087,4.57,26,Yes
teakettle,28,6.125,4.97,27,Yes
teakwood,29,5.136363636,4.62,27,Yes
teammate,39,5.074074074,4.15,24,Yes
teapot,22,6.2,4.96,29,Yes
tear,22,4.44,4.56,29,Yes
teardrop,30,4.695652174,4.56,32,No
tearoom,40,4.458333333,4.58,27,Yes
teaspoon,24,4.76,4.76,29,Yes
teaspoonful,27,4.4,4.27,37,No
technician,30,4.56,4.1,27,Yes
teenager,48,5.08,4.34,32,No
teeth,29,6.275862069,4.96,33,No
telescope,28,5.916666667,5,32,No
television,34,5.6,4.83,26,Yes
temple,36,4.84,4.53,26,Yes
tenant,28,4.8,4.55,30,No
tenderloin,39,4.962962963,4.39,29,Yes
tent,33,5.5,4.96,33,No
tepee,45,4.916666667,4.85,36,No
termite,30,4.32,4.7,36,No
terrace,39,4.454545455,4.67,26,Yes
terrier,45,5.416666667,4.62,34,No
terrycloth,23,4.692307692,4.55,32,No
testes,32,5.083333333,4.54,28,Yes
testicle,26,6.24,4.59,25,Yes
textile,38,4.964285714,4.23,26,Yes
theatergoer,32,5,3.92,31,No
theologian,18,4.47826087,3.76,31,No
therapist,42,5.148148148,4.52,27,Yes
thermometer,24,5.56,4.96,27,Yes
thermos,31,5.518518519,4.67,25,Yes
thermostat,27,5.074074074,4.87,24,Yes
thesaurus,21,5.363636364,4.79,26,Yes
thigh,36,5.76,4.9,31,No
thimble,22,5.347826087,5,28,Yes
thong,36,6.47826087,4.93,33,No
thorn,28,4.925925926,5,28,Yes
thread,31,4.76,4.83,30,No
throat,44,5.347826087,4.97,37,No
throne,16,5.217391304,4.64,28,Yes
thumb,49,6.357142857,4.96,32,No
thumbnail,39,4.88,4.5,27,Yes
thumbscrew,37,5.173913043,4.32,28,Yes
thumbtack,23,5.956521739,4.96,26,Yes
thyme,32,4.958333333,4.96,28,Yes
ticket,41,5.333333333,4.7,33,No
tickler,22,4.76,3.76,25,Yes
tie,34,6.260869565,4.81,34,No
tightrope,38,4.590909091,4.78,36,No
tights,34,5.956521739,4.62,34,No
tile,35,4.76,4.68,30,No
tiller,53,4.541666667,4.26,37,No
timber,33,4.695652174,4.9,30,No
timepiece,33,5.375,4.36,25,Yes
tin,30,4.727272727,4.87,34,No
tinderbox,30,4.958333333,4.79,24,Yes
tinfoil,35,5.458333333,4.96,36,No
tinplate,31,4.869565217,4,34,No
tinsel,12,4.777777778,4.82,27,Yes
tire,29,5.291666667,5,24,Yes
tissue,17,5.72,4.93,26,Yes
toast,31,6.2,4.93,29,Yes
toaster,24,6.04,4.9,25,Yes
toastmaster,24,4.652173913,3.88,28,Yes
tobacco,27,5.666666667,4.88,38,No
toboggan,31,5.68,4.76,33,No
toddler,58,5.875,4.29,35,No
toe,41,5.954545455,4.93,28,Yes
toffee,39,5.608695652,4.89,40,No
tofu,35,5.555555556,4.86,33,No
toga,41,4.52173913,4.73,27,Yes
toilet,31,6.368918919,4.97,35,No
toiletry,31,5.222222222,4.52,29,Yes
token,40,5.2,4.3,29,Yes
tomahawk,31,4.958333333,4.83,28,Yes
tomato,41,6.125,5,26,Yes
tomb,45,4.739130435,4.73,39,No
tombstone,46,5.043478261,4.71,33,No
tongs,28,5.826086957,5,55,No
tongue,46,5.928571429,4.93,38,No
tonic,34,5.086956522,4.1,37,No
tool,27,6.304347826,4.6,25,Yes
tooth,52,6.037037037,4.89,37,No
toothbrush,24,6.72,5,28,Yes
toothpaste,23,5.76,4.97,27,Yes
toothpick,26,6.375,4.93,25,Yes
topsoil,31,4.92,4.85,29,Yes
torch,25,4.851851852,4.76,27,Yes
torchlight,32,4.64,4.28,31,No
torso,38,5.64,4.83,27,Yes
tortilla,48,6.037037037,4.89,36,No
tortoise,48,4.541666667,4.87,36,No
tote,31,4.28,4.38,38,No
toupee,24,6.217391304,4.65,27,Yes
tourist,42,5,4.59,26,Yes
tourniquet,21,4.956521739,4.5,27,Yes
towel,31,6.04,4.86,24,Yes
tower,44,4.307692308,4.76,36,No
townsfolk,38,4.583333333,3.82,59,No
toy,38,6.08,4.93,29,Yes
track,32,4.916666667,4.31,27,Yes
tracksuit,38,5.653846154,4.73,33,No
tractor,30,5.590909091,5,27,Yes
tradesman,31,4.84,4.07,27,Yes
trailer,38,5.296296296,4.79,27,Yes
train,37,5.333333333,4.79,35,No
trainee,31,4.72,3.89,26,Yes
trainer,52,5.357142857,4.31,28,Yes
trampoline,29,5.88,5,26,Yes
tranquilizer,18,4.56,4.55,60,No
trap,37,4.695652174,4.3,27,Yes
trapeze,22,4.958333333,4.55,27,Yes
trash,20,5.136363636,4.7,27,Yes
trashcan,39,5.76,4.86,28,Yes
traveler,49,4.714285714,4.07,68,No
tray,34,5.166666667,4.74,32,No
treadmill,24,6,4.93,30,No
treasure,44,4.666666667,4.32,39,No
treat,33,4.791666667,3.79,27,Yes
tree,55,5.84,5,38,No
trench,32,4.285714286,4.46,31,No
triceps,28,5.52,4.46,29,Yes
tricycle,34,6.173913043,4.68,36,No
trigger,31,5.16,4.31,37,No
trinket,34,4.791666667,4.48,29,Yes
tripod,27,5,4.72,25,Yes
trolley,24,5.416666667,4.73,29,Yes
trombone,46,5.75,4.9,38,No
trophy,34,4.916666667,4.89,25,Yes
trousers,33,6.185185185,4.93,34,No
trout,32,4.76,4.72,27,Yes
truck,29,6.041666667,4.84,55,No
trumpet,35,6.291666667,4.86,34,No
trunk,29,5.217391304,4.71,25,Yes
tub,37,6.086956522,4.64,37,No
tuba,44,5.130434783,4.86,32,No
tube,56,4.916666667,4.82,30,No
tubing,26,4.625,4.38,25,Yes
tugboat,35,4.555555556,4.78,33,No
tulip,32,5.217391304,5,27,Yes
tumbler,28,5.136363636,4.08,27,Yes
tummy,45,5.125,4.68,39,No
tuna,36,4.916666667,4.89,29,Yes
tunic,38,4.76,3.75,27,Yes
turban,24,5.148148148,4.76,31,No
turf,37,4.36,4.1,28,Yes
turkey,43,4.833333333,4.89,25,Yes
turnip,36,6.12,4.79,29,Yes
turntable,28,5.347826087,4.57,29,Yes
turtle,24,4.821428571,5,25,Yes
turtleneck,27,5.375,4.7,29,Yes
tutor,25,4.608695652,4.28,24,Yes
tutu,28,5.413793103,4.68,26,Yes
tuxedo,41,5.259259259,4.86,35,No
tweezer,26,5.272727273,4.89,26,Yes
twig,47,5.28,4.75,37,No
twine,44,5.5,4.03,35,No
typewriter,23,5.592592593,4.88,28,Yes
ukulele,36,5.782608696,4.62,26,Yes
umbrella,37,6.4,5,29,Yes
uncle,38,5.392857143,4.24,32,No
underclothes,22,6,4.66,53,No
undercoat,19,4.772727273,4.5,25,Yes
undershirt,49,5.954545455,5,34,No
underwear,25,6.52173913,4.96,88,No
uniform,33,5.666666667,4.67,27,Yes
upholstery,42,5.461538462,4.65,34,No
urinal,23,5.666666667,4.6,32,No
urn,23,4.791666667,4.61,26,Yes
vaccine,24,4.321428571,4.69,24,Yes
vacuum,25,5.291666667,4.22,27,Yes
vagina,28,6.041666667,4.82,59,No
valet,24,4.625,4.26,31,No
valve,29,4.869565217,4.83,26,Yes
van,43,6.28,4.72,38,No
vanilla,24,4.518518519,4.68,29,Yes
vase,34,5.36,5,39,No
vaseline,43,5.608695652,4.9,27,Yes
veal,34,4.5,4.75,26,Yes
vegetable,47,6.391304348,4.89,32,No
vegetation,34,4.925925926,4.45,27,Yes
vehicle,40,6.173913043,4.64,26,Yes
veil,18,5.727272727,4.45,26,Yes
vein,35,4.44,4.63,34,No
velvet,26,4.916666667,4.44,33,No
vendor,36,5,4.5,38,No
ventilator,29,4.72,4.04,27,Yes
vermicelli,26,5.571428571,4.52,27,Yes
vermouth,28,4.318181818,4.16,27,Yes
vessel,35,4.925925926,4.66,29,Yes
vest,37,6,4.52,33,No
veterinarian,39,5.074074074,4.46,25,Yes
vibrator,26,6.464285714,4.64,25,Yes
videotape,27,5.44,4.92,26,Yes
viewfinder,32,4.916666667,4.44,38,No
village,39,4.44,4.89,38,No
villager,45,4.666666667,4.24,27,Yes
vinaigrette,27,5.363636364,4.52,31,No
vine,33,5,4.86,33,No
vinegar,32,5.291666667,4.89,31,No
vinyl,37,4.6,4.54,31,No
viola,20,4.458333333,4.54,26,Yes
violin,25,6.043478261,4.96,28,Yes
violinist,24,4.47826087,4.84,28,Yes
virgin,27,4.448275862,3.31,34,No
visor,29,5.041666667,4.66,29,Yes
vitamins,33,5.12,4.5,72,No
vocalist,36,4.269230769,4.2,24,Yes
vodka,41,5.56,4.97,38,No
volleyball,37,6.52,4.93,26,Yes
vomit,29,4.666666667,4.75,26,Yes
voter,26,4.75,3.93,24,Yes
vulva,19,5.16,4.5,27,Yes
wafer,41,5.909090909,4.56,38,No
waffle,30,6.173913043,4.71,28,Yes
wagon,25,5.375,4.89,36,No
waist,26,4.888888889,4.72,26,Yes
waistband,18,5.833333333,4.79,29,Yes
waistcoat,35,6.44,4.63,32,No
waiter,37,4.48,4.67,37,No
waitress,31,4.826086957,4.56,26,Yes
walker,41,5.181818182,4.42,36,No
wall,40,4.68,4.86,29,Yes
wallboard,34,4.64,4.5,27,Yes
wallet,33,6.136363636,4.81,35,No
wallpaper,33,4.875,4.62,36,No
walnut,38,5.791666667,4.97,28,Yes
walrus,32,4.875,5,27,Yes
wand,38,5.08,4.73,34,No
warden,44,4.434782609,4.27,35,No
wart,20,4.56,4.89,27,Yes
washbasin,29,5.833333333,4.74,25,Yes
washboard,14,5.208333333,4.86,26,Yes
washbowl,24,5.692307692,4.76,35,No
washcloth,20,6.192307692,4.93,34,No
washer,26,5.518518519,4.7,37,No
washerwoman,21,4.55,3.92,26,Yes
washroom,26,5.037037037,4.76,27,Yes
washstand,20,4.652173913,4.85,31,No
waste,26,4.318181818,3.24,30,No
wastebasket,30,6.217391304,4.63,26,Yes
watch,44,5.269230769,4.61,38,No
watchband,37,5.923076923,5,24,Yes
watchdog,36,4.333333333,4.29,30,No
watchmaker,19,4.56,4.36,37,No
